id;nazev;adresa
1;Bílá vrána;Kuršova 430/5, Ostrava-Svinov
2;Jota;Škárova 809, 612 00 Brno-Královo Pole
3;Český spisovatel;Pod Nuselskými schody 1721/3, Praha, 120 00
4;Albatros;Na Pankráci 30/1618, 140 00 Praha 4
5;Host;Radlas 94/5, Zábrdovice, 602 00 Brno
6;Jaroslav Jiránek;
7;Odeon;Nádražní 896/30, 150 00 Praha 5
8;Millenium Publishing;
9;František Borový;
10;Artur;České družiny 31, 160 00 Praha 6
11;Aventinum;Tolstého 22, Praha 10 101 00
12;Fortuna Libri;Vodičkova 791/39, 110 00 PRAHA 1
13;Svoboda;
14;Mladá fronta;Mezi Vodami 1952/9 ,143 00 Praha 4 - Modřany
