book_slug,author_slug
romeo-a-julie,william-shakespeare
hamlet,william-shakespeare
zkroceni-zle-zeny,william-shakespeare
vesele-panicky-windsorske,william-shakespeare
dekameron,giovanni-boccaccio
sluha-dvou-panu,carlo-goldoni
tartuffe,moliere
lakomec,moliere
zdravy-nemocny,moliere
frankenstein,mary-shelleyova
evzen-onegin,alexandr-sergejevic-puskin
revizor,nikolaj-vasiljevic-gogol
zabijak,emile-zola
povidky,edgar-allan-poe
valka-svetu,herbert-george-wells
ocelove-mesto,jules-verne
drakula,bram-stoker
podivny-pripad-doktora-jekylla-a-pana-hyda,robert-louis-stevenson
obraz-doriana-graye,oscar-wilde
strasidlo-cantervillske,oscar-wilde
zlocin-lorda-arthura-savila,oscar-wilde
jak-je-dulezite-miti-filipa,oscar-wilde
milacek,guy-de-maupassant
kulicka,guy-de-maupassant
pycha-a-predsudek,jane-austenova
rozum-a-cit,jane-austenova
maj,karel-hynek-macha
kytice,karel-jaromir-erben
krest-svateho-vladimira,karel-havlicek-borovsky
tyrolske-elegie,karel-havlicek-borovsky
kral-lavra,karel-havlicek-borovsky
povidky-malostranske,jan-neruda
marysa,a-mrstikova
marysa,v-mrstikova
babicka,bozena-nemcova
diva-bara,bozena-nemcova
karla,bozena-nemcova
gazdina-roba,gabriela-preissova
tulak-po-hvezdach,jack-london
pes-baskervillsky,arthur-conan-doyle
ztraceny-svet,arthur-conan-doyle
pygmalion,george-bernard-shaw
na-zapadni-fronte-klid,erich-maria-remarque
nepritel,erich-maria-remarque
petr-a-lucie,romain-rolland
maly-princ,antoine-de-saint-exupery
hobit,john-ronald-reuel-tolkien
spolecenstvo-prstenu-1-dil,john-ronald-reuel-tolkien
jeden-den-ivana-denisovice,alexandr-solzenicyn
o-mysich-a-lidech,john-steinbeck
starec-a-more,ernest-hemingway
jak-jsem-vyhral-valku,patrick-ryan
ja-robot,isaac-asimov
piknik-u-cesty,arkadij-strugacti
piknik-u-cesty,boris-strugacti
na-ceste,jack-kerouac
tramvaj-do-stanice-touha,tennessee-williams
plesata-zpevacka,eugene-ionesco
sophiina-volba,william-styron
denik-anny-frankove,anne-frankova
vrazda-rogera-ackroyda,agatha-christie
vyhodme-ho-z-kola-ven,ken-kesey
alchymista,paulo-coelho
smrt-je-mym-remeslem,robert-merle
kmotr,mario-puzo
den-trifidu,john-wyndham
dobra-znameni,terry-pratchett
dobra-znameni,neil-gaiman
stoparuv-pruvodce-galaxii,douglas-adams
lolita,vladimir-nabokov
pan-much,william-golding
farma-zvirat,george-orwell
1984,george-orwell
martanska-kronika,ray-bradbury
451-stupnu-fahrenheita,ray-bradbury
velky-gatsby,francis-scott-fitzgerald
vsechno-je-definitivni,stephen-king
carrie,stephen-king
zaklinac-i-posledni-prani,andrzej-sapkowski
pisen-ledu-a-ohne-hra-o-truny,george-r-r-martin
cizinec,albert-camus
vsechny-rite-sveta-i-ta-ma,charles-bukowski
krysar,viktor-dyk
mesice,karel-toman
slezske-pisne,petr-bezruc
osudy-dobreho-vojaka-svejka-za-svetove-valky-1-dil,jaroslav-hasek
nikola-suhaj-loupeznik,ivan-olbracht
krakatit,karel-capek
valka-s-mloky,karel-capek
rur,karel-capek
povidky-z-prvni-a-druhe-kapsy,karel-capek
bila-nemoc,karel-capek
osel-a-stin,jiri-voskovec
osel-a-stin,jan-werich
rozmarne-leto,vladislav-vancura
bylo-nas-pet,karel-polacek
manon-lescaut,vitezslav-nezval
promena,franz-kafka
saturnin,zdenek-jirotka
zbabelci,josef-skvorecky
prima-sezona,josef-skvorecky
tankovy-prapor,josef-skvorecky
spalovac-mrtvol,ladislav-fuks
audience,vaclav-havel
smesne-lasky,milan-kundera
modlitba-pro-katerinu-horovitzovou,arnost-lustig
romeo-julie-a-tma,jan-otcenasek
ostre-sledovane-vlaky,bohumil-hrabal
obsluhoval-jsem-anglickeho-krale,bohumil-hrabal
postriziny,bohumil-hrabal
smrt-krasnych-srncu,ota-pavel
jak-jsem-potkal-ryby,ota-pavel
kniska,karel-kryl
bajecna-leta-pod-psa,michal-viewegh
text-appeal,jiri-zacek
dlouhy-siroky-a-kratkozraky,zdenek-sverak
dlouhy-siroky-a-kratkozraky,ladislav-smoljak
blanik,zdenek-sverak
blanik,ladislav-smoljak
dobyti-severniho-polu,zdenek-sverak
dobyti-severniho-polu,ladislav-smoljak
vysetrovani-ztraty-tridni-knihy,zdenek-sverak
vysetrovani-ztraty-tridni-knihy,ladislav-smoljak
cerni-baroni,miloslav-svandrlik
hovno-hori,petr-sabach
