book_slug,category_slug
romeo-a-julie,drama
hamlet,drama
zkroceni-zle-zeny,drama
vesele-panicky-windsorske,drama
dekameron,povidky
sluha-dvou-panu,drama
tartuffe,drama
lakomec,drama
zdravy-nemocny,drama
frankenstein,roman
evzen-onegin,poezie
revizor,drama
zabijak,roman
povidky,povidky
valka-svetu,scifi
ocelove-mesto,scifi
drakula,roman
podivny-pripad-doktora-jekylla-a-pana-hyda,roman
obraz-doriana-graye,roman
strasidlo-cantervillske,povidky
zlocin-lorda-arthura-savila,povidky
jak-je-dulezite-miti-filipa,drama
milacek,roman
kulicka,povidky
pycha-a-predsudek,roman
rozum-a-cit,roman
maj,poezie
kytice,poezie
krest-svateho-vladimira,poezie
tyrolske-elegie,poezie
kral-lavra,poezie
povidky-malostranske,povidky
marysa,drama
babicka,roman
diva-bara,povidky
karla,povidky
gazdina-roba,drama
tulak-po-hvezdach,roman
pes-baskervillsky,detektivka
ztraceny-svet,roman
pygmalion,drama
na-zapadni-fronte-klid,roman
nepritel,roman
petr-a-lucie,roman
maly-princ,roman
hobit,fantasy
spolecenstvo-prstenu-1-dil,fantasy
jeden-den-ivana-denisovice,roman
o-mysich-a-lidech,roman
starec-a-more,roman
jak-jsem-vyhral-valku,roman
ja-robot,scifi
piknik-u-cesty,scifi
na-ceste,roman
tramvaj-do-stanice-touha,drama
plesata-zpevacka,drama
sophiina-volba,roman
denik-anny-frankove,denik
vrazda-rogera-ackroyda,detektivka
vyhodme-ho-z-kola-ven,roman
alchymista,roman
smrt-je-mym-remeslem,roman
kmotr,roman
den-trifidu,scifi
dobra-znameni,fantasy
stoparuv-pruvodce-galaxii,scifi
lolita,roman
pan-much,roman
farma-zvirat,roman
1984,dystopie
martanska-kronika,scifi
451-stupnu-fahrenheita,dystopie
velky-gatsby,roman
vsechno-je-definitivni,povidky
carrie,roman
zaklinac-i-posledni-prani,fantasy
pisen-ledu-a-ohne-hra-o-truny,fantasy
cizinec,roman
vsechny-rite-sveta-i-ta-ma,poezie
krysar,roman
mesice,poezie
slezske-pisne,poezie
osudy-dobreho-vojaka-svejka-za-svetove-valky-1-dil,roman
nikola-suhaj-loupeznik,roman
krakatit,roman
valka-s-mloky,scifi
rur,drama
povidky-z-prvni-a-druhe-kapsy,povidky
bila-nemoc,drama
osel-a-stin,drama
rozmarne-leto,roman
bylo-nas-pet,roman
manon-lescaut,drama
promena,roman
saturnin,roman
zbabelci,roman
prima-sezona,roman
tankovy-prapor,roman
spalovac-mrtvol,roman
audience,drama
smesne-lasky,povidky
modlitba-pro-katerinu-horovitzovou,roman
romeo-julie-a-tma,roman
ostre-sledovane-vlaky,roman
obsluhoval-jsem-anglickeho-krale,roman
postriziny,roman
smrt-krasnych-srncu,povidky
jak-jsem-potkal-ryby,povidky
kniska,poezie
bajecna-leta-pod-psa,roman
text-appeal,poezie
dlouhy-siroky-a-kratkozraky,drama
blanik,drama
dobyti-severniho-polu,drama
vysetrovani-ztraty-tridni-knihy,drama
cerni-baroni,roman
hovno-hori,roman
